path,name,folder,ext,lines,size_bytes
desktop/src-tauri/bundle-resources/emubro-resources/platforms/ps2/config.json,config.json,desktop,json,105,2736
emubro-resources/platforms/ps2/config.json,config.json,emubro-resources,json,105,2736
js/runtime/suggested-results-view.js,suggested-results-view.js,js,js,102,5669
js/theme-manager/marketplace-view.js,marketplace-view.js,js,js,98,4819
scripts/build-linux-portable-appimage.js,build-linux-portable-appimage.js,scripts,js,98,2415
scss/tools/_remote-library.scss,_remote-library.scss,scss,scss,98,2314
desktop/src-tauri/src/app_core/invoke/library_actions/metadata.rs,metadata.rs,desktop,rs,97,4843
js/game-manager/launch-picker.js,launch-picker.js,js,js,97,4232
desktop/src-tauri/src/bridge_extensions/suggestions/tags.rs,tags.rs,desktop,rs,96,3482
scss/header/_about-dialog.scss,_about-dialog.scss,scss,scss,95,1916
desktop/src-tauri/src/bridge_extensions/suggestions/mod.rs,mod.rs,desktop,rs,94,2564
desktop/src/utils/shell-state.js,shell-state.js,desktop,js,94,1968
js/language-manager/language-list-view.js,language-list-view.js,js,js,94,4460
scripts/build-windows-portable.js,build-windows-portable.js,scripts,js,94,2946
BLOG_POST_INTRODUCING_EMUBRO.md,BLOG_POST_INTRODUCING_EMUBRO.md,Root,md,93,3579
desktop/src-tauri/src/bridge_extensions/suggestions/recommendations.rs,recommendations.rs,desktop,rs,89,3278
scss/_main-content.scss,_main-content.scss,scss,scss,88,1959
desktop/src/utils/cover-downloader.js,cover-downloader.js,desktop,js,85,3035
scss/tools/_ecm-unecm.scss,_ecm-unecm.scss,scss,scss,85,2167
desktop/src-tauri/src/bridge_extensions/suggestions/relay/server.rs,server.rs,desktop,rs,83,2460
js/settings/library-settings-modal/save-settings.js,save-settings.js,js,js,83,3908
scripts/desktop-build.js,desktop-build.js,scripts,js,82,2380
desktop/src-tauri/src/bridge_extensions/core_base/state/kv_store.rs,kv_store.rs,desktop,rs,81,2583
js/language-manager/persistence.js,persistence.js,js,js,80,2190
desktop/src/components/BiosManagerPanel.vue,BiosManagerPanel.vue,desktop,vue,79,3772
desktop/src-tauri/bundle-resources/emubro-resources/platforms/ps3/config.json,config.json,desktop,json,78,2047
desktop/src/components/MonitorManagerPanel.vue,MonitorManagerPanel.vue,desktop,vue,78,4535
emubro-resources/platforms/ps3/config.json,config.json,emubro-resources,json,78,2047
js/game-manager/render-utils.js,render-utils.js,js,js,77,2698
desktop/src-tauri/bundle-resources/emubro-resources/platforms/android/config.json,config.json,desktop,json,73,1846
desktop/src/components/ToolPluginWorkspacePanel.vue,ToolPluginWorkspacePanel.vue,desktop,vue,73,3506
emubro-resources/platforms/android/config.json,config.json,emubro-resources,json,73,1846
package.json,package.json,Root,json,72,3811
desktop/src-tauri/bundle-resources/emubro-resources/platforms/xbox360/config.json,config.json,desktop,json,71,1959
desktop/src-tauri/tauri.conf.json,tauri.conf.json,desktop,json,71,1501
emubro-resources/platforms/xbox360/config.json,config.json,emubro-resources,json,71,1959
scss/games/_table.scss,_table.scss,scss,scss,71,1632
desktop/src-tauri/bundle-resources/emubro-resources/platforms/wii-u/config.json,config.json,desktop,json,70,1904
emubro-locales-repo/manifest.json,manifest.json,emubro-locales-repo,json,70,2501
emubro-resources/platforms/wii-u/config.json,config.json,emubro-resources,json,70,1904
scripts/build-flatpak.js,build-flatpak.js,scripts,js,70,1950
js/theme-manager/theme-splash-utils.js,theme-splash-utils.js,js,js,68,2842
desktop/src-tauri/installer-hooks.nsh,installer-hooks.nsh,desktop,nsh,66,3257
desktop/src/styles/_llm-settings.scss,_llm-settings.scss,desktop,scss,66,1331
js/language-manager/translation-controls.js,translation-controls.js,js,js,66,2596
js/ui/glass-message-dialog.js,glass-message-dialog.js,js,js,66,2429
scripts/sync-bundle-resources.js,sync-bundle-resources.js,scripts,js,66,1855
desktop/src-tauri/src/bridge_extensions/core_base/state/paths.rs,paths.rs,desktop,rs,65,2051
desktop/src-tauri/src/bridge_extensions/migration/mod.rs,mod.rs,desktop,rs,65,2570
